时间戳,目标档位,当前速度(m/s),转向角(°),运行模式,心跳计数
2025-10-13 14:18:13,D档,3135,31664,auto,9
2025-10-13 14:18:13,D档,1344,31664,auto,6
2025-10-13 14:18:13,D档,3646,31664,auto,13
2025-10-13 14:18:13,D档,830,31664,auto,1
2025-10-13 14:18:13,D档,2366,31664,auto,8
2025-10-13 14:18:13,D档,2620,31664,auto,10
2025-10-13 14:18:13,D档,2365,31664,auto,6
2025-10-13 14:18:13,D档,318,31664,auto,15
2025-10-13 14:18:13,D档,3133,31664,auto,1
2025-10-13 14:18:13,D档,3902,31664,auto,3
2025-10-13 14:18:13,D档,1855,31664,auto,12
2025-10-13 14:18:13,D档,3647,31664,auto,4
2025-10-13 14:18:13,D档,1087,31664,auto,13
2025-10-13 14:18:13,D档,2365,31664,auto,1
2025-10-13 14:18:13,D档,62,31664,auto,7
2025-10-13 14:18:13,D档,2622,31664,auto,12
2025-10-13 14:18:13,D档,3902,31664,auto,10
2025-10-13 14:18:13,D档,575,31664,auto,6
2025-10-13 14:18:13,D档,574,31664,auto,1
2025-10-13 14:18:13,D档,62,31664,auto,2
2025-10-13 14:18:13,D档,3902,31664,auto,14
2025-10-13 14:18:13,D档,3901,31664,auto,15
2025-10-13 14:18:13,D档,2110,31664,auto,7
2025-10-13 14:18:13,D档,3645,31664,auto,0
2025-10-13 14:18:13,D档,1599,31664,auto,11
2025-10-13 14:18:13,D档,3646,31664,auto,2
2025-10-13 14:18:13,D档,2110,31664,auto,3
2025-10-13 14:18:13,D档,2110,31664,auto,2
2025-10-13 14:18:13,D档,1342,31664,auto,12
2025-10-13 14:18:13,D档,3902,31664,auto,7
2025-10-13 14:18:14,D档,318,31664,auto,6
2025-10-13 14:18:14,D档,2622,31664,auto,12
2025-10-13 14:18:14,D档,3390,31664,auto,8
2025-10-13 14:18:14,D档,1344,31664,auto,6
2025-10-13 14:18:14,D档,3390,31664,auto,14
2025-10-13 14:18:14,D档,1854,31664,auto,5
2025-10-13 14:18:14,D档,2877,31664,auto,10
2025-10-13 14:18:14,D档,318,31664,auto,1
2025-10-13 14:18:14,D档,317,31664,auto,14
2025-10-13 14:18:14,D档,2877,31664,auto,5
2025-10-13 14:18:14,D档,2366,31664,auto,4
2025-10-13 14:18:14,D档,3902,31664,auto,3
2025-10-13 14:18:14,D档,3902,31664,auto,4
2025-10-13 14:18:14,D档,1087,31664,auto,14
2025-10-13 14:18:14,D档,2621,31664,auto,3
2025-10-13 14:18:14,D档,829,31664,auto,11
2025-10-13 14:18:14,D档,829,31664,auto,4
2025-10-13 14:18:14,D档,3645,31664,auto,8
2025-10-13 14:18:14,D档,62,31664,auto,5
2025-10-13 14:18:14,D档,318,31664,auto,5
2025-10-13 14:18:14,D档,64,31664,auto,4
2025-10-13 14:18:14,D档,2366,31664,auto,11
2025-10-13 14:18:14,D档,3134,31664,auto,13
2025-10-13 14:18:14,D档,62,31664,auto,0
2025-10-13 14:18:14,D档,830,31664,auto,12
2025-10-13 14:18:14,D档,2366,31664,auto,7
2025-10-13 14:18:14,D档,1087,31664,auto,9
2025-10-13 14:18:14,D档,2366,31664,auto,5
2025-10-13 14:18:14,D档,3390,31664,auto,6
2025-10-13 14:18:14,D档,1342,31664,auto,15
2025-10-13 14:18:14,D档,1853,31664,auto,14
2025-10-13 14:18:14,D档,1086,31664,auto,12
2025-10-13 14:18:14,D档,1597,31664,auto,1
2025-10-13 14:18:14,D档,3901,31664,auto,9
2025-10-13 14:18:14,D档,63,31664,auto,5
2025-10-13 14:18:14,D档,319,31664,auto,5
2025-10-13 14:18:14,D档,2367,31664,auto,10
2025-10-13 14:18:14,D档,3645,31664,auto,12
2025-10-13 14:18:14,D档,1342,31664,auto,4
2025-10-13 14:18:14,D档,2621,31664,auto,10
2025-10-13 14:18:14,D档,2877,31664,auto,4
2025-10-13 14:18:14,D档,3901,31664,auto,1
2025-10-13 14:18:14,D档,1087,31664,auto,9
2025-10-13 14:18:14,D档,3646,31664,auto,2
2025-10-13 14:18:14,D档,319,31664,auto,10
2025-10-13 14:18:14,D档,3390,31664,auto,7
2025-10-13 14:18:14,D档,1854,31664,auto,14
2025-10-13 14:18:14,D档,1853,31664,auto,15
2025-10-13 14:18:14,D档,2109,31664,auto,15
2025-10-13 14:18:14,D档,1854,31664,auto,1
2025-10-13 14:18:14,D档,574,31664,auto,7
2025-10-13 14:18:14,D档,1087,31664,auto,0
2025-10-13 14:18:14,D档,2879,31664,auto,8
2025-10-13 14:18:14,D档,2366,31664,auto,11
2025-10-13 14:18:14,D档,1599,31664,auto,7
2025-10-13 14:18:14,D档,3133,31664,auto,12
2025-10-13 14:18:14,D档,2621,31664,auto,5
2025-10-13 14:18:14,D档,1342,31664,auto,11
2025-10-13 14:18:14,D档,1342,31664,auto,8
2025-10-13 14:18:14,D档,2110,31664,auto,4
